genres,sentiment,count
"Action & Adventure, Classics, Comedy, Kids & Family, Romance",0,2
"Action & Adventure, Classics, Comedy, Kids & Family, Romance",1,8
"Action & Adventure, Classics, Comedy, Kids & Family, Science Fiction & Fantasy",0,4
"Action & Adventure, Classics, Comedy, Kids & Family, Science Fiction & Fantasy",1,15
"Action & Adventure, Classics, Comedy, Musical & Performing Arts",0,1
"Action & Adventure, Classics, Comedy, Musical & Performing Arts",1,5
"Action & Adventure, Classics, Comedy, Musical & Performing Arts, Romance",1,5
"Action & Adventure, Classics, Comedy, Mystery & Suspense",0,4
"Action & Adventure, Classics, Comedy, Mystery & Suspense",1,16
"Action & Adventure, Classics, Comedy, Romance",0,1
"Action & Adventure, Classics, Comedy, Romance",1,13
"Action & Adventure, Classics, Comedy, Science Fiction & Fantasy",0,1
"Action & Adventure, Classics, Comedy, Science Fiction & Fantasy",1,2
"Action & Adventure, Classics, Comedy, Western",0,2
"Action & Adventure, Classics, Comedy, Western",1,4
"Action & Adventure, Classics, Comedy, Western, Romance",0,1
"Action & Adventure, Classics, Comedy, Western, Romance",1,7
"Action & Adventure, Classics, Cult Movies",0,4
"Action & Adventure, Classics, Cult Movies",1,6
"Action & Adventure, Classics, Cult Movies, Drama",0,2
"Action & Adventure, Classics, Cult Movies, Drama",1,8
"Action & Adventure, Classics, Cult Movies, Drama, Mystery & Suspense",0,1
"Action & Adventure, Classics, Cult Movies, Drama, Mystery & Suspense",1,22
"Action & Adventure, Classics, Cult Movies, Drama, Special Interest",0,1
"Action & Adventure, Classics, Cult Movies, Drama, Special Interest",1,5
"Action & Adventure, Classics, Cult Movies, Horror, Science Fiction & Fantasy",0,3
"Action & Adventure, Classics, Documentary, Drama",0,1
"Action & Adventure, Classics, Documentary, Drama",1,4
"Action & Adventure, Classics, Drama",0,453
"Action & Adventure, Classics, Drama",1,1050
"Action & Adventure, Classics, Drama, Horror, Science Fiction & Fantasy",1,2
"Action & Adventure, Classics, Drama, Kids & Family",0,1
"Action & Adventure, Classics, Drama, Kids & Family",1,31
"Action & Adventure, Classics, Drama, Kids & Family, Television",1,2
"Action & Adventure, Classics, Drama, Kids & Family, Western",0,2
"Action & Adventure, Classics, Drama, Kids & Family, Western",1,13
"Action & Adventure, Classics, Drama, Musical & Performing Arts",1,14
"Action & Adventure, Classics, Drama, Musical & Performing Arts, Western",0,1
"Action & Adventure, Classics, Drama, Musical & Performing Arts, Western",1,26
"Action & Adventure, Classics, Drama, Mystery & Suspense",0,31
"Action & Adventure, Classics, Drama, Mystery & Suspense",1,156
"Action & Adventure, Classics, Drama, Mystery & Suspense, Romance",0,2
"Action & Adventure, Classics, Drama, Mystery & Suspense, Romance",1,60
"Action & Adventure, Classics, Drama, Mystery & Suspense, Science Fiction & Fantasy",1,1
"Action & Adventure, Classics, Drama, Mystery & Suspense, Western, Romance",0,2
"Action & Adventure, Classics, Drama, Mystery & Suspense, Western, Romance",1,2
"Action & Adventure, Classics, Drama, Romance",0,11
"Action & Adventure, Classics, Drama, Romance",1,100
"Action & Adventure, Classics, Drama, Science Fiction & Fantasy",0,45
"Action & Adventure, Classics, Drama, Science Fiction & Fantasy",1,278
"Action & Adventure, Classics, Drama, Science Fiction & Fantasy, Romance",0,1
"Action & Adventure, Classics, Drama, Science Fiction & Fantasy, Romance",1,3
"Action & Adventure, Classics, Drama, Special Interest",1,13
"Action & Adventure, Classics, Drama, Western",0,10
"Action & Adventure, Classics, Drama, Western",1,135
"Action & Adventure, Classics, Drama, Western, Romance",0,1
"Action & Adventure, Classics, Drama, Western, Romance",1,5
"Action & Adventure, Classics, Horror",0,10
"Action & Adventure, Classics, Horror",1,35
"Action & Adventure, Classics, Horror, Mystery & Suspense, Science Fiction & Fantasy, Western",1,3
"Action & Adventure, Classics, Horror, Science Fiction & Fantasy",0,4
"Action & Adventure, Classics, Horror, Science Fiction & Fantasy",1,18
"Action & Adventure, Classics, Kids & Family",1,6
"Action & Adventure, Classics, Kids & Family, Romance",1,3
"Action & Adventure, Classics, Kids & Family, Science Fiction & Fantasy",0,1
"Action & Adventure, Classics, Kids & Family, Science Fiction & Fantasy",1,33
"Action & Adventure, Classics, Musical & Performing Arts",0,1
