genres,sentiment,count
"Action & Adventure, Art House & International, Comedy, Drama, Mystery & Suspense",Negative,109
"Action & Adventure, Art House & International, Comedy, Drama, Mystery & Suspense",Neutral,76
"Action & Adventure, Art House & International, Comedy, Drama, Mystery & Suspense",Positive,220
"Action & Adventure, Art House & International, Comedy, Drama, Mystery & Suspense, Science Fiction & Fantasy",Negative,36
"Action & Adventure, Art House & International, Comedy, Drama, Mystery & Suspense, Science Fiction & Fantasy",Neutral,16
"Action & Adventure, Art House & International, Comedy, Drama, Mystery & Suspense, Science Fiction & Fantasy",Positive,158
"Action & Adventure, Art House & International, Comedy, Drama, Romance",Negative,71
"Action & Adventure, Art House & International, Comedy, Drama, Romance",Neutral,31
"Action & Adventure, Art House & International, Comedy, Drama, Romance",Positive,112
"Action & Adventure, Art House & International, Comedy, Drama, Science Fiction & Fantasy",Negative,1
"Action & Adventure, Art House & International, Comedy, Drama, Science Fiction & Fantasy",Neutral,2
"Action & Adventure, Art House & International, Comedy, Drama, Science Fiction & Fantasy",Positive,2
"Action & Adventure, Art House & International, Comedy, Horror",Negative,66
"Action & Adventure, Art House & International, Comedy, Horror",Neutral,16
"Action & Adventure, Art House & International, Comedy, Horror",Positive,67
"Action & Adventure, Art House & International, Comedy, Kids & Family",Negative,2
"Action & Adventure, Art House & International, Comedy, Kids & Family",Positive,1
"Action & Adventure, Art House & International, Comedy, Musical & Performing Arts, Mystery & Suspense, Romance",Negative,4
"Action & Adventure, Art House & International, Comedy, Musical & Performing Arts, Mystery & Suspense, Romance",Neutral,2
"Action & Adventure, Art House & International, Comedy, Musical & Performing Arts, Mystery & Suspense, Romance",Positive,36
"Action & Adventure, Art House & International, Comedy, Mystery & Suspense",Negative,20
"Action & Adventure, Art House & International, Comedy, Mystery & Suspense",Neutral,7
"Action & Adventure, Art House & International, Comedy, Mystery & Suspense",Positive,49
"Action & Adventure, Art House & International, Comedy, Mystery & Suspense, Science Fiction & Fantasy",Negative,8
"Action & Adventure, Art House & International, Comedy, Mystery & Suspense, Science Fiction & Fantasy",Neutral,2
"Action & Adventure, Art House & International, Comedy, Mystery & Suspense, Science Fiction & Fantasy",Positive,6
"Action & Adventure, Art House & International, Comedy, Romance",Negative,6
"Action & Adventure, Art House & International, Comedy, Romance",Neutral,1
"Action & Adventure, Art House & International, Comedy, Romance",Positive,37
"Action & Adventure, Art House & International, Comedy, Science Fiction & Fantasy",Negative,1
"Action & Adventure, Art House & International, Comedy, Science Fiction & Fantasy",Positive,4
"Action & Adventure, Art House & International, Comedy, Special Interest",Negative,15
"Action & Adventure, Art House & International, Comedy, Special Interest",Neutral,1
"Action & Adventure, Art House & International, Comedy, Special Interest",Positive,9
"Action & Adventure, Art House & International, Cult Movies, Drama",Negative,1
"Action & Adventure, Art House & International, Cult Movies, Drama",Neutral,3
